"B.GC.SP_vs_actNK"	"B.MZ.Sp_vs_actNK"	"NK_vs_actNK"	"preB.FrC_vs_actNK"	"proB.FrA_vs_actNK"	"T.8EFF_vs_actNK"	"T.8NVE_vs_actNK"	"T.DPbl_vs_actNK"	"T.DPsm_vs_actNK"	"B.MZ.Sp_vs_B.GC.SP"	"NK_vs_B.GC.SP"	"preB.FrC_vs_B.GC.SP"	"proB.FrA_vs_B.GC.SP"	"T.8EFF_vs_B.GC.SP"	"T.8NVE_vs_B.GC.SP"	"T.DPbl_vs_B.GC.SP"	"T.DPsm_vs_B.GC.SP"	"NK_vs_B.MZ.Sp"	"preB.FrC_vs_B.MZ.Sp"	"proB.FrA_vs_B.MZ.Sp"	"T.8EFF_vs_B.MZ.Sp"	"T.8NVE_vs_B.MZ.Sp"	"T.DPbl_vs_B.MZ.Sp"	"T.DPsm_vs_B.MZ.Sp"	"preB.FrC_vs_NK"	"proB.FrA_vs_NK"	"T.8EFF_vs_NK"	"T.8NVE_vs_NK"	"T.DPbl_vs_NK"	"T.DPsm_vs_NK"	"proB.FrA_vs_preB.FrC"	"T.8EFF_vs_preB.FrC"	"T.8NVE_vs_preB.FrC"	"T.DPbl_vs_preB.FrC"	"T.DPsm_vs_preB.FrC"	"T.8EFF_vs_proB.FrA"	"T.8NVE_vs_proB.FrA"	"T.DPbl_vs_proB.FrA"	"T.DPsm_vs_proB.FrA"	"T.8NVE_vs_T.8EFF"	"T.DPbl_vs_T.8EFF"	"T.DPsm_vs_T.8EFF"	"T.DPbl_vs_T.8NVE"	"T.DPsm_vs_T.8NVE"	"T.DPsm_vs_T.DPbl"	"actNK_vs_others"	"B.GC.SP_vs_others"	"B.MZ.Sp_vs_others"	"NK_vs_others"	"preB.FrC_vs_others"	"proB.FrA_vs_others"	"T.8EFF_vs_others"	"T.8NVE_vs_others"	"T.DPbl_vs_others"	"T.DPsm_vs_others"
"actNK"	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"B.GC.SP"	1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
"B.MZ.Sp"	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	1	-1	-1	-1	-1	-1	-1	-1
"NK"	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	1	-1	-1	-1	-1	-1	-1
"preB.FrC"	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
"proB.FrA"	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	-1	-1	-1	-1	0	0	0	0	0	0	-1	-1	-1	-1	-1	1	-1	-1	-1	-1
"T.8EFF"	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	1	-1	-1	-1
"T.8NVE"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	1	-1	-1
"T.DPbl"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1
"T.DPsm"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
