,ID,Symbol,Entrez_Gene_ID,MGI_Marker_ID,Name,Feature_Type
1,10338001,NA,NA,NA,NA,NA
2,10338003,NA,NA,NA,NA,NA
3,10338004,NA,NA,NA,NA,NA
4,10338017,NA,NA,NA,NA,NA
5,10338025,NA,NA,NA,NA,NA
6,10338026,NA,NA,NA,NA,NA
7,10338029,NA,NA,NA,NA,NA
8,10338035,NA,NA,NA,NA,NA
9,10338036,NA,NA,NA,NA,NA
10,10338037,NA,NA,NA,NA,NA
11,10338041,NA,NA,NA,NA,NA
12,10338042,NA,NA,NA,NA,NA
13,10338044,NA,NA,NA,NA,NA
14,10338047,NA,NA,NA,NA,NA
15,10338056,NA,NA,NA,NA,NA
16,10338059,NA,NA,NA,NA,NA
17,10338060,NA,NA,NA,NA,NA
18,10338063,NA,NA,NA,NA,NA
19,10338064,NA,NA,NA,NA,NA
20,10338065,NA,NA,NA,NA,NA
21,10338066,NA,NA,NA,NA,NA
22,10338067,NA,NA,NA,NA,NA
23,10338068,NA,NA,NA,NA,NA
24,10338069,NA,NA,NA,NA,NA
25,10338070,NA,NA,NA,NA,NA
26,10338071,NA,NA,NA,NA,NA
27,10338072,NA,NA,NA,NA,NA
28,10338073,NA,NA,NA,NA,NA
29,10338074,NA,NA,NA,NA,NA
30,10338075,NA,NA,NA,NA,NA
31,10338076,NA,NA,NA,NA,NA
32,10338077,NA,NA,NA,NA,NA
33,10338078,NA,NA,NA,NA,NA
34,10338079,NA,NA,NA,NA,NA
35,10338080,NA,NA,NA,NA,NA
36,10338081,NA,NA,NA,NA,NA
37,10338082,NA,NA,NA,NA,NA
38,10338083,NA,NA,NA,NA,NA
39,10338084,NA,NA,NA,NA,NA
40,10338085,NA,NA,NA,NA,NA
41,10338086,NA,NA,NA,NA,NA
42,10338087,NA,NA,NA,NA,NA
43,10338088,NA,NA,NA,NA,NA
44,10338089,NA,NA,NA,NA,NA
45,10338090,NA,NA,NA,NA,NA
46,10338091,NA,NA,NA,NA,NA
47,10338092,NA,NA,NA,NA,NA
48,10338093,NA,NA,NA,NA,NA
